Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors
Godawari Power and Ispat Limited,Metals - Ferrous,26,55,66,49,Below Average,Mar-23,Environment
Godfrey Phillips India Limited,FMCG,49,37,60,51,Adequate,Mar-23,Environment/Social
Godrej Agrovet Limited,FMCG,46,47,67,55,Adequate,Mar-23,Environment/Social
Godrej Consumer Products Limited,FMCG,44,45,73,56,Adequate,Mar-23,Environment/Social
Godrej Industries Limited,Diversified,50,39,66,54,Adequate,Mar-22,Social
Godrej Properties Limited,Real Estate,56,54,68,60,Adequate,Mar-23,All sectors adequate
Gokaldas Exports Limited,Textiles,37,62,68,CRISIL ESG 56,Adequate,Mar-23,Environment
Goldiam International Limited,Consumer Retail,29,41,66,47,Adequate,Mar-22,Environment/Social
Goodyear India Limited,Tyre,40,59,72,57,Adequate,Mar-23,Environment
Granules India Limited,Pharmaceuticals,35,47,71,52,Adequate,Mar-22,Environment/Social
Graphite India Limited,Metals - Linked Products,23,35,63,42,Below Average,Mar-22,Environment/Social
Grasim Industries Limited,Diversified,46,50,71,57,Adequate,Mar-22,Environment
Grauer and Weil India Limited,Commodity Chemicals,32,36,64,46,Below Average,Mar-23,Environment/Social
Gravita India Limited,Metals - Non-Ferrous,29,60,65,51,Adequate,Mar-23,Environment
Greaves Cotton Limited,Industrials,29,40,66,46,Adequate,Mar-22,Environment/Social
Greenlam Industries Limited,Plywood Board,37,54,69,54,Adequate,Mar-23,Environment
Greenpanel Industries Limited,Plywood Board,33,51,70,53,Adequate,Mar-23,Environment
Greenply Industries Limited,Plywood Board,32,57,64,51,Adequate,Mar-23,Environment
Grindwell Norton Limited,Industrials,28,39,70,48,Adequate,Mar-22,Environment/Social
GTL Infrastructure Limited,Telecom,37,54,63,52,Adequate,Mar-23,Environment
GTPL Hathway Limited,Media,37,41,64,49,Adequate,Mar-22,Environment/Social
Gufic Biosciences Limited,Pharmaceuticals,26,47,71,49,Adequate,Mar-22,Environment/Social
Gujarat Alkalies and Chemicals Limited,Commodity Chemicals,32,58,69,53,Adequate,Mar-23,Environment
Gujarat Ambuja Exports Limited,Agri Commodities,37,54,69,54,Adequate,Mar-22,Environment
Gujarat Fluorochemicals Limited,Chemicals - Speciality Chemicals,33,51,63,49,Below Average,Mar-23,Environment
Gujarat Gas Limited,Oil & Gas - Gas,43,62,66,57,Adequate,Mar-23,Environment
Gujarat Industries Power Company Limited,Power Thermal,31,44,64,47,Below Average,Mar-23,Environment/Social
Gujarat Mineral Development Corporation Limited,Mining,27,49,71,50,Below Average,Mar-23,Environment/Social
Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodity Chemicals,28,51,68,50,Below Average,Mar-23,Environment
Gujarat Pipavav Port Limited,Port & Port services,34,59,69,54,Adequate,Mar-23,Environment
Gujarat State Fertilizers and Chemicals Limited,Chemicals - Fertilizers,42,54,67,55,Adequate,Mar-23,Environment
Gujarat State Petronet Limited,Oil & Gas - Gas,40,53,63,53,Adequate,Mar-23,Environment
Gulf Oil Lubricants India Limited,Lubricants,44,57,68,57,Adequate,Mar-23,Environment
Gulshan Polyols Limited,Chemicals - Bulk & Polymers,19,29,67,41,Below Average,Mar-22,Environment/Social
H.G. Infra Engineering Limited,Construction EPC,33,61,67,54,Adequate,Mar-23,Environment
Happiest Minds Technologies Limited,IT,54,70,73,66,Strong,Mar-23,All sectors adequate
Harsha Engineers International Limited,Industrials,28,33,60,42,Below Average,Mar-22,Environment/Social
Hathway Cable and Datacom Limited,Media,37,40,64,49,Adequate,Mar-22,Environment/Social
Hatsun Agro Product Limited,FMCG,38,50,62,51,Adequate,Mar-23,Environment
Havells India Limited,Durables & Electricals,53,66,72,64,Strong,Mar-22,All sectors adequate
Hawkins Cookers Limited,Consumer Retail,31,43,63,47,Adequate,Mar-22,Environment/Social
HBL Power Systems Limited,Batteries,24,34,58,40,Below Average,Mar-22,Environment/Social
HCL Technologies Limited,IT,73,66,74,72,Leadership,Mar-23,All sectors adequate
HDB Financial Services Limited,NBFC,46,47,71,56,Adequate,Mar-23,Environment/Social
HDFC Asset Management Company Limited,Financial Services (Capital Market),60,66,70,65,Strong,Mar-23,All sectors adequate
HDFC Bank Limited,Banks,68,61,79,71,Leadership,Mar-23,All sectors adequate
HDFC Credila Financial Services Limited,NBFC,50,46,68,56,Adequate,Mar-23,Social
HDFC Life Insurance Company Limited,Insurance,52,56,69,60,Adequate,Mar-23,All sectors adequate
HDFC Securities Limited,Financial Services (Capital Market),35,33,61,45,Below Average,Mar-23,Environment/Social
Healthcare Global Enterprises Limited,Healthcare,48,62,67,59,Adequate,Mar-23,Environment
HEG Limited,Metals - Linked Products,22,36,68,44,Below Average,Mar-22,Environment/Social
Heidelberg Cement India Limited,Cement,35,55,70,54,Adequate,Mar-23,Environment
Hemisphere Properties India Limited,Real Estate,24,45,61,44,Below Average,Mar-23,Environment/Social
Heranba Industries Limited,Chemicals - Speciality Chemicals,28,50,70,50,Below Average,Mar-23,Environment
Heritage Foods Limited,FMCG,46,52,70,57,Adequate,Mar-23,Environment
Hero FinCorp Limited,NBFC,45,44,64,53,Adequate,Mar-23,Environment/Social
Hero Motocorp Limited,Auto OEM,49,63,64,59,Adequate,Mar-23,Environment
Hester Biosciences Limited,Pharmaceuticals,26,42,65,46,Adequate,Mar-22,Environment/Social
HFCL Limited,Telecom,40,54,63,53,Adequate,Mar-23,Environment
Hikal Limited,Chemicals - Speciality Chemicals,24,42,61,44,Below Average,Mar-22,Environment/Social
HIL Limited,Other Construction Material,38,61,66,55,Adequate,Mar-23,Environment
Himadri Speciality Chemical Limited,Commodity Chemicals,41,52,69,55,Adequate,Mar-23,Environment
Himatsingka Seide Limited,Textiles,28,49,63,CRISIL ESG 47,Below Average,Mar-23,Environment/Social
Hindalco Industries Limited,Metals - Non-Ferrous,36,57,68,54,Adequate,Mar-23,Environment
Hinduja Global Solutions Limited,IT,39,44,67,52,Adequate,Mar-22,Environment/Social
Hinduja Leyland Finance Limited,NBFC,45,37,64,51,Adequate,Mar-23,Environment/Social
Hindustan Aeronautics Limited,Industrials,46,60,58,54,Adequate,Mar-22,Environment
Hindustan Construction Company Limited,Construction EPC,35,36,60,45,Below Average,Mar-23,Environment/Social
Hindustan Copper Limited,Metals - Non-Ferrous,24,56,54,44,Below Average,Mar-23,Environment
Hindustan Foods Limited,FMCG,45,51,71,57,Adequate,Mar-23,Environment
Hindustan Oil Exploration Co. Limited,Oil & Gas - Exploration & Production,28,41,74,50,Below Average,Mar-23,Environment/Social
Hindustan Petroleum Corporation Limited,Oil & Gas - Refining & Marketing,42,58,56,52,Adequate,Mar-23,Environment
Hindustan Unilever Limited,FMCG,54,62,70,63,Strong,Mar-23,All sectors adequate
Hindustan Zinc Limited,Metals - Non-Ferrous,45,59,62,55,Adequate,Mar-23,Environment
Hindware Home Innovation Limited,Sanitary ware and Ceramics,24,28,68,43,Below Average,Mar-23,Environment/Social
Hitachi Energy India Limited,Heavy Electrical Equipment,39,62,68,CRISIL ESG 56,Adequate,Mar-23,Environment
HLE Glasscoat Limited,Industrials,27,37,73,48,Adequate,Mar-22,Environment/Social
HMT Limited,Industrials,26,33,46,36,Below Average,Mar-22,Environment/Social/Governance
Home First Finance Company India Limited,NBFC,51,61,74,63,Strong,Mar-23,All sectors adequate
Honda Siel Power Products Limited,Industrials,29,39,65,46,Adequate,Mar-22,Environment/Social
Honeywell Automation India Limited,Industrials,29,39,66,46,Adequate,Mar-22,Environment/Social
Housing and Urban Development Corporation Limited,Financial Institution,53,58,59,56,Adequate,Mar-23,All sectors adequate
Huhtamaki India Limited,Paper,26,43,69,48,Adequate,Dec-21,Environment/Social
ICICI Bank Limited,Banks,63,61,77,68,Strong,Mar-23,All sectors adequate
ICICI Home Finance Company Limited,NBFC,46,41,64,52,Adequate,Mar-23,Environment/Social
ICICI Lombard General Insurance Company Limited,Insurance,50,56,77,62,Strong,Mar-23,All sectors adequate
ICICI Prudential Life Insurance Company Limited,Insurance,51,58,71,61,Strong,Mar-23,All sectors adequate
ICICI Securities Limited,Financial Services (Capital Market),61,63,75,67,Strong,Mar-23,All sectors adequate
Icra Limited,Financial Services (Rating Agencies),36,42,75,53,Adequate,Mar-22,Environment/Social
IDBI Bank Limited,Banks,53,62,70,62,Strong,Mar-23,All sectors adequate
IDFC FIRST Bank Limited,Banks,64,56,77,67,Strong,Mar-23,All sectors adequate
IDFC Limited,Holding company,53,48,71,59,Adequate,Mar-22,Social
IFB Industries Limited,Durables & Electricals,27,36,64,44,Below Average,Mar-22,Environment/Social
IFCI Limited,Financial Institution ,44,46,50,47,Below Average,Mar-23,Environment/Social
Ifgl Refractories Limited,Industrials,27,36,70,46,Adequate,Mar-22,Environment/Social
Igarashi Motors India Limited,Auto Ancillary,25,35,66,44,Below Average,Mar-22,Environment/Social
IIFL Finance Limited,NBFC,57,62,64,61,Strong,Mar-23,All sectors adequate
IIFL Home Finance Limited,NBFC,59,53,67,61,Strong,Mar-23,All sectors adequate
IIFL Securities Limited,Financial Services (Capital Market),49,56,71,60,Adequate,Mar-23,Environment
India Glycols Limited,Commodity Chemicals,35,54,60,50,Below Average,Mar-23,Environment
India Grid Trust,Power T&D,34,22,66,44,Below Average,Mar-23,Environment/Social
India Infradebt Limited,NBFC,52,41,70,57,Adequate,Mar-23,Social
India Pesticides Limited,Chemicals - Speciality Chemicals,29,51,62,48,Below Average,Mar-23,Environment
India Tourism Development Corporation Limited,Hotels,33,46,61,47,Below Average,Mar-23,Environment/Social
Indiabulls Commercial Credit Limited,NBFC,47,38,64,51,Adequate,Mar-23,Environment/Social
Indiabulls Housing Finance Limited,NBFC,55,54,67,60,Adequate,Mar-23,All sectors adequate
Indiabulls Real Estate Limited,Real Estate,28,46,69,49,Below Average,Mar-23,Environment/Social
Indiamart Intermesh Limited,Internet & Catalogue Retail,45,62,67,58,Adequate,Mar-23,Environment
Indian Bank,Banks,55,64,60,59,Adequate,Mar-23,All sectors adequate
Indian Energy Exchange Limited,Financial Services (capital markets),48,48,68,56,Adequate,Mar-23,Environment/Social
Indian Metals and Ferro Alloys Limited,Metals - Ferrous,21,49,62,45,Below Average,Mar-23,Environment/Social
Indian Oil Corporation Limited,Oil & Gas - Refining & Marketing,49,58,58,55,Adequate,Mar-23,Environment
Indian Overseas Bank,Banks,54,63,58,58,Adequate,Mar-23,All sectors adequate
Indian Railway Catering and Tourism Corporation Limited,Tour and travel-related services,44,59,64,55,Adequate,Mar-23,Environment
Indian Railway Finance Corporation Limited,Financial Institution ,56,54,58,56,Adequate,Mar-23,All sectors adequate
Indian Renewable Energy Development Agency Limited,Financial Institution,66,47,59,59,Adequate,Mar-23,Social
Indigo Paints Limited,Paints,53,48,69,58,Adequate,Mar-23,Social
IndInfravit Trust,InvIT,24,24,56,37,Below Average,Mar-22,Environment/Social
Indo Count Industries Limited,Textiles,38,50,65,CRISIL ESG 52,Adequate,Mar-22,Environment
Indo Rama Synthetics (India) Limited,Textiles,29,57,65,CRISIL ESG 50,Below Average,Mar-22,Environment
Indoco Remedies Limited,Pharmaceuticals,29,52,68,50,Adequate,Mar-22,Environment
IndoStar Capital Finance Limited,NBFC,44,43,63,51,Adequate,Mar-23,Environment/Social
Indraprastha Gas Limited,Oil & Gas - Gas,43,64,65,57,Adequate,Mar-23,Environment
Indus Towers Limited,Telecom,46,58,62,56,Adequate,Mar-23,Environment
IndusInd Bank Limited,Banks,64,55,71,65,Strong,Mar-23,All sectors adequate
Infibeam Avenues Limited,Internet,37,44,58,47,Adequate,Mar-22,Environment/Social
Info Edge (India) Limited,Internet & Catalogue Retail,54,62,74,64,Strong,Mar-23,All sectors adequate
Infobeans Technologies Limited,IT,47,52,68,57,Adequate,Mar-23,Environment
Infosys Limited,IT,78,69,81,77,Leadership,Mar-23,All sectors adequate
Ingersoll Rand India Limited,Industrials,30,42,66,48,Adequate,Mar-22,Environment/Social
Inox Wind Energy Limited,Heavy Engineering,26,34,57,40,Below Average,Mar-22,Environment/Social
Inox Wind Limited,"Power Renewable (Solar, Wind)",39,37,61,48,Adequate,Mar-22,Environment/Social
Insecticides (India) Limited,Chemicals - Speciality Chemicals,31,51,70,51,Adequate,Mar-23,Environment
Intellect Design Arena Limited,IT,56,49,66,58,Adequate,Mar-23,Social
Interglobe Aviation Limited,Airlines,43,56,65,55,Adequate,Mar-22,Environment
IOL Chemicals and Pharmaceuticals Limited,Pharmaceuticals,34,47,66,50,Adequate,Mar-22,Environment/Social
ION Exchange India Limited,Water and Waste Management,28,30,58,41,Below Average,Mar-22,Environment/Social
IPCA Laboratories Limited,Pharmaceuticals,27,44,66,47,Adequate,Mar-22,Environment/Social
IRB Infrastructure Developers Limited,Construction EPC,42,67,61,56,Adequate,Mar-23,Environment
Ircon International Limited,Construction EPC,34,56,64,52,Adequate,Mar-23,Environment
ISGEC Heavy Engineering Limited,Construction EPC,34,53,63,50,Below Average,Mar-23,Environment
Ismt Limited,Metals - Ferrous,32,56,67,52,Adequate,Mar-23,Environment
ITC Limited,Diversified,57,55,68,61,Strong,Mar-22,All sectors adequate
ITD Cementation India Limited,Construction EPC,35,60,71,56,Adequate,Mar-23,Environment
ITI Limited,Telecom,34,58,56,49,Below Average,Mar-23,Environment
J B Chemicals and Pharmaceuticals Limited,Pharmaceuticals,51,61,70,61,Strong,Mar-22,All sectors adequate
J. Kumar Infraprojects Limited,Construction EPC,25,59,65,50,Below Average,Mar-23,Environment
Jagran Prakashan Limited,Media,39,41,59,47,Adequate,Mar-22,Environment/Social
Jagsonpal Pharmaceuticals Limited,Pharmaceuticals,23,37,61,42,Below Average,Mar-22,Environment/Social
Jai Corp Limited,Industrials,28,35,62,43,Below Average,Mar-22,Environment/Social
Jain Irrigation Systems Limited,Plastic Products - Pipes,41,54,61,52,Adequate,Mar-23,Environment
Jaiprakash Associates Limited,Construction EPC,27,53,57,45,Below Average,Mar-23,Environment
Jaiprakash Power Ventures Limited,Power Thermal,35,50,64,50,Below Average,Mar-23,Environment
Jamna Auto Industries Limited,Auto Ancillary,25,37,70,46,Adequate,Mar-22,Environment/Social
Jamnagar Utilities and Power Private Limited,Power Thermal,13,22,58,33,Weak,Mar-23,Environment/Social
Jayaswal Neco Industries Limited,Metals - Ferrous,30,57,56,47,Below Average,Mar-23,Environment
JBM Auto Limited,Auto Ancillary,25,32,64,42,Below Average,Mar-22,Environment/Social
Jindal Poly Films Limited,Chemicals - Bulk & Polymers,18,34,69,42,Below Average,Mar-22,Environment/Social
Jindal Saw Limited,Iron and Steel Products,27,57,66,50,Below Average,Mar-23,Environment
Jindal Stainless Limited,Metals - Ferrous,41,61,67,56,Adequate,Mar-23,Environment
Jindal Steel and Power Limited,Metals - Ferrous,34,58,54,48,Below Average,Mar-23,Environment
Jindal Worldwide Limited,Textiles,31,50,60,CRISIL ESG 48,Below Average,Mar-23,Environment
JK Cement Limited,Cement,45,54,65,56,Adequate,Mar-23,Environment
JK Lakshmi Cement Limited,Cement,40,66,65,57,Adequate,Mar-23,Environment
JK Paper Limited,Paper,46,55,66,56,Adequate,Mar-23,Environment
JK Tyre and Industries Limited,Tyre,41,52,64,53,Adequate,Mar-23,Environment
JM Financial Asset Reconstruction Company Limited,Financial Services (capital markets),35,32,55,42,Below Average,Mar-23,Environment/Social
JM Financial Credit Solutions Limited,NBFC,46,36,56,47,Below Average,Mar-23,Environment/Social
JM Financial Limited,Financial Services (Others),36,49,66,51,Adequate,Mar-22,Environment/Social
JM Financial Products Limited,NBFC,48,38,67,53,Adequate,Mar-23,Environment/Social
JM Financial Services Limited,Financial Services (Capital Market),35,31,52,41,Below Average,Mar-23,Environment/Social
John Deere Financial India Private Limited,NBFC,43,34,57,46,Below Average,Mar-23,Environment/Social
Johnson Controls-Hitachi Air Conditioning India Limited,Durables & Electricals,28,40,59,44,Below Average,Mar-22,Environment/Social
JSW Energy Limited,Power Thermal,49,64,72,62,Strong,Mar-23,Environment
JSW Holdings Limited,Holding company,40,50,64,52,Adequate,Mar-22,Environment
JSW Steel Limited,Metals - Ferrous,38,62,64,54,Adequate,Mar-23,Environment
JTEKT India Limited,Auto Ancillary,25,37,57,41,Below Average,Mar-22,Environment/Social
Jubilant FoodWorks Limited,Restaurants,39,57,67,55,Adequate,Mar-23,Environment
Jubilant Ingrevia Limited,Chemicals - Speciality Chemicals,43,58,70,57,Adequate,Mar-23,Environment
Jubilant Pharmova Limited,Pharmaceuticals,51,50,65,56,Adequate,Mar-22,All sectors adequate
Just Dial Limited,Internet & Catalogue Retail,36,53,64,52,Adequate,Mar-23,Environment
Jyothy Labs Limited,FMCG,42,55,76,59,Adequate,Mar-23,Environment
Jyoti Structures Limited,Heavy Electrical Equipment,24,25,52,CRISIL ESG 36,Weak,Mar-23,Environment/Social
K. P. R. Mill Limited,Textile,33,55,63,CRISIL ESG 50,Below Average,Mar-23,Environment
Kajaria Ceramics Limited,Sanitary ware and Ceramics,42,60,63,55,Adequate,Mar-23,Environment
Kalpataru Projects International Limited,Construction EPC,40,59,63,54,Adequate,Mar-23,Environment
Kalyan Jewellers India Limited,Consumer Retail,28,42,71,49,Adequate,Mar-22,Environment/Social
Kalyani Steels Limited,Metals - Ferrous,27,53,60,47,Below Average,Mar-23,Environment
Kama Holdings Limited,Holding company,21,43,69,46,Adequate,Mar-22,Environment/Social
Kansai Nerolac Paints Limited,Paints,49,60,71,61,Strong,Mar-23,Environment
Kaveri Seed Co. Limited,Agri Commodities,24,39,59,42,Below Average,Mar-22,Environment/Social
Kaynes Technology India Limited,Durables & Electricals,27,36,62,44,Below Average,Mar-22,Environment/Social
KEC International Limited,Construction EPC,41,60,67,56,Adequate,Mar-23,Environment
KEI Industries Limited,Industrials,28,35,62,44,Below Average,Mar-22,Environment/Social
Kennametal India Limited,Industrials,32,41,69,49,Adequate,Jun-22,Environment/Social
Kesoram Industries Limited,Cement,30,44,68,49,Below Average,Mar-23,Environment/Social
Kewal Kiran Clothing Limited,Textile,22,41,60,42,Below Average,Mar-22,Environment/Social
KFIN Technologies Private Limited,Financial Services (Capital Market),50,53,66,57,Adequate,Mar-23,All sectors adequate
KIOCL Limited,Metals - Ferrous,29,58,56,47,Below Average,Mar-23,Environment
Kiri Industries Limited,Chemicals - Speciality Chemicals,18,39,61,40,Weak,Mar-23,Environment/Social
Kirloskar Brothers Limited,Industrials,44,46,59,51,Adequate,Mar-22,Environment/Social
Kirloskar Ferrous Industries Limited,Metals - Ferrous,30,58,72,54,Adequate,Mar-23,Environment
Kirloskar Industries Limited,Metals - Ferrous,14,36,73,43,Below Average,Mar-22,Environment/Social
Kirloskar Oil Engines Limited,Industrials,49,48,68,57,Adequate,Mar-22,Environment/Social
Kirloskar Pneumatic Company Limited,Industrials,31,39,70,49,Adequate,Mar-22,Environment/Social
Kitex Garments Limited,Textiles,31,57,61,CRISIL ESG 50,Below Average,Mar-23,Environment
KMC Speciality Hospitals (India) Limited,Healthcare,32,61,66,53,Adequate,Mar-23,Environment
KNR Constructions Limited,Construction EPC,31,55,66,51,Adequate,Mar-23,Environment
Kolte-Patil Developers Limited,Real Estate,25,36,66,44,Below Average,Mar-23,Environment/Social
Kopran Limited,Pharmaceuticals,25,45,69,48,Adequate,Mar-22,Environment/Social
Kotak Mahindra Bank Limited,Banks,64,58,75,67,Strong,Mar-23,All sectors adequate
Kotak Mahindra Investments Limited,NBFC,47,38,56,48,Below Average,Mar-23,Environment/Social
Kotak Mahindra Prime Limited,NBFC,44,41,59,50,Below Average,Mar-23,Environment/Social
Kotak Securities Limited,Financial Services (Capital Market),35,32,56,43,Below Average,Mar-23,Environment/Social
Kovai Medical Center and Hospital Limited,Healthcare,42,66,57,54,Adequate,Mar-23,Environment
KPIT Technologies Limited,IT,53,46,68,57,Adequate,Mar-23,Social
Krbl Limited,Agri Commodities,37,47,55,46,Adequate,Mar-22,Environment/Social
Krishna Institute of Medical Sciences Limited,Healthcare,41,47,65,52,Adequate,Mar-23,Environment/Social
Krsnaa Diagnostics Limited,Healthcare,44,58,67,57,Adequate,Mar-23,Environment
KSB Limited,Industrials,28,39,62,45,Below Average,Dec-21,Environment/Social
L G Balakrishnan and Bros Limited,Auto Ancillary,25,34,65,43,Below Average,Mar-22,Environment/Social
L&T Finance Limited (formerly L&T Finance Holdings Limited),NBFC,59,62,70,64,Strong,Mar-23,All sectors adequate
L&T Technology Services Limited,IT,63,67,72,68,Strong,Mar-23,All sectors adequate
LA Opala R G Limited,Consumer Retail,29,41,62,45,Below Average,Mar-22,Environment/Social
Lakshmi Machine Works Limited,Industrials,32,34,67,46,Adequate,Mar-22,Environment/Social
Landmark Cars Limited,Consumer Retail,27,35,58,41,Below Average,Mar-22,Environment/Social
Larsen and Toubro Limited,Construction EPC,51,68,68,62,Strong,Mar-23,All sectors adequate
Latent View Analytics Limited,IT,45,42,70,54,Adequate,Mar-23,Environment/Social
Laurus Labs Limited,Pharmaceuticals,42,56,72,58,Adequate,Mar-22,Environment
Laxmi Organic Industries Limited,Chemicals - Speciality Chemicals,40,50,67,53,Adequate,Mar-23,Environment
Lemon Tree Hotels Limited,Hotels,45,56,67,57,Adequate,Mar-23,Environment
LIC Housing Finance Limited,NBFC,52,60,74,63,Strong,Mar-23,All sectors adequate
Life Insurance Corporation of India,Insurance,40,63,63,55,Adequate,Mar-23,Environment
Linde India Limited,Industrials,38,37,66,49,Adequate,Dec-21,Environment/Social
Lloyds Metals and Energy Limited,Metals - Ferrous,31,42,71,50,Below Average,Mar-23,Environment/Social
LT Foods Limited,FMCG,41,41,67,51,Adequate,Mar-22,Environment/Social
LTIMindtree Limited,IT,76,69,75,74,Leadership,Mar-23,All sectors adequate
Lumax Auto Technologies Limited,Auto Ancillary,30,31,68,46,Adequate,Mar-22,Environment/Social
Lumax Industries Limited,Auto Ancillary,28,31,63,43,Below Average,Mar-22,Environment/Social
Lupin Limited,Pharmaceuticals,45,61,67,58,Adequate,Mar-22,Environment
Lux Industries Limited,Textiles,39,59,59,CRISIL ESG 52,Adequate,Mar-23,Environment
Macrotech Developers Limited,Real Estate,58,54,72,63,Strong,Mar-23,All sectors adequate
Mahanagar Gas Limited,Oil & Gas - Gas,38,61,68,56,Adequate,Mar-23,Environment
Mahanagar Telephone Nigam Limited,Telecom,30,50,60,47,Below Average,Mar-23,Environment
Maharashtra Scooters Limited,Holding company,56,55,69,61,Strong,Mar-22,All sectors adequate
Maharashtra Seamless Limited,Metals - Linked Products,27,55,70,51,Adequate,Mar-23,Environment
Mahindra and Mahindra Financial Services Limited,NBFC,56,63,73,64,Strong,Mar-23,All sectors adequate
Mahindra and Mahindra Limited,Auto OEM,55,59,72,63,Strong,Mar-23,All sectors adequate
Mahindra Holidays and Resorts India Limited,Hotels,41,39,69,52,Adequate,Mar-23,Environment/Social
Mahindra Lifespace Developers Limited,Real Estate,55,55,70,61,Strong,Mar-23,All sectors adequate
Mahindra Logistics Limited,Logistics,41,51,75,57,Adequate,Mar-23,Environment
Mahindra Rural Housing Finance Limited,NBFC,48,49,62,54,Adequate,Mar-23,Environment/Social
Maithon Alloys,Metals - Ferrous,29,45,67,48,Below Average,Mar-23,Environment/Social
Man Infraconstruction Limited,Construction EPC,28,36,67,46,Below Average,Mar-23,Environment/Social
Manali Petrochemicals Limited,Chemicals - Bulk & Polymers,26,55,66,50,Below Average,Mar-23,Environment
Manappuram Finance Limited,NBFC,53,59,76,64,Strong,Mar-23,All sectors adequate
Mangalam Cement Limited,Cement,36,55,61,51,Adequate,Mar-23,Environment
Mangalore Refinery and Petrochemicals Limited,Oil & Gas - Refining & Marketing,41,60,65,56,Adequate,Mar-23,Environment
Mankind Pharma Limited,Pharmaceuticals,25,49,62,46,Adequate,Mar-22,Environment/Social
Manorama Industries Limited,FMCG,36,58,72,56,Adequate,Mar-23,Environment
Marico Limited,FMCG,58,59,73,64,Strong,Mar-23,All sectors adequate
Marksans Pharma Limited,Pharmaceuticals,26,45,66,47,Adequate,Mar-22,Environment/Social
Maruti Suzuki India Limited,Auto OEM,43,61,67,57,Adequate,Mar-23,Environment
MAS Financial Services Limited,NBFC,55,58,68,61,Strong,Mar-23,All sectors adequate
Mastek Limited,IT,50,68,70,63,Strong,Mar-22,All sectors adequate
Matrimony.com Limited,Internet & Catalogue Retail,39,53,70,55,Adequate,Mar-23,Environment
Max Financial Services Limited,Insurance,47,61,66,58,Adequate,Mar-23,Environment
Max Healthcare Institute Limited,Healthcare,58,62,70,64,Strong,Mar-23,All sectors adequate
Mayur Uniquoters Limited,Textile,24,41,68,46,Adequate,Mar-22,Environment/Social
Mazagon Dock Shipbuilders Limited,Shipbuilding,27,46,59,45,Below Average,Mar-22,Environment/Social
Medplus Health Services Limited,Retailing (Pharmacy Retail),46,63,58,CRISIL ESG 55,Adequate,Mar-23,Environment
MEP Infrastructure Developers Limited,Transport Infra - Roads,24,29,48,35,Below Average,Mar-22,Environment/Social/Governance
Metro Brands Limited,Consumer Retail,28,43,71,49,Adequate,Mar-22,Environment/Social
Metropolis Healthcare Limited,Healthcare,42,53,69,56,Adequate,Mar-23,Environment
Minda Corporation Limited,Auto Ancillary,28,35,63,44,Below Average,Mar-22,Environment/Social
Mindspace Business Parks REIT (Mindspace REIT),REIT,45,57,54,52,Adequate,Mar-23,Environment
Mirza International Limited,Consumer Retail,31,45,61,47,Adequate,Mar-22,Environment/Social
Mishra Dhatu Nigam Limited,Metals - Linked Products,21,41,58,41,Below Average,Mar-22,Environment/Social
MM Forgings Limited,Auto Ancillary,26,30,64,42,Below Average,Mar-22,Environment/Social
MMTC Limited,Trading,25,61,48,43,Below Average,Mar-23,Environment/Governance
Moil Limited,Mining,25,52,60,46,Below Average,Mar-23,Environment
Mold-Tek Packaging Limited,Consumer Retail,30,46,69,50,Adequate,Mar-22,Environment/Social
Morepen Laboratories Limited,Pharmaceuticals,27,47,64,47,Adequate,Mar-22,Environment/Social
Motherson Sumi Wiring India Limited,Industrials,46,48,65,54,Adequate,Mar-22,Environment/Social
Motilal Oswal Financial Services Limited,Financial Services (capital markets),44,45,67,53,Adequate,Mar-23,Environment/Social
Motilal Oswal Home Finance Limited,NBFC,46,44,65,53,Adequate,Mar-23,Environment/Social
Mphasis Limited,IT,63,52,70,63,Strong,Mar-23,All sectors adequate
MPS Limited,IT,39,49,68,53,Adequate,Mar-23,Environment/Social
MRF Limited,Tyre,36,56,58,50,Below Average,Mar-23,Environment
Mrs.Bectors Food Specialities Limited,FMCG,39,52,70,55,Adequate,Mar-23,Environment
MSTC Limited,Trading,27,43,62,45,Below Average,Mar-23,Environment/Social
MTAR Technologies Limited,Industrials,29,39,75,50,Adequate,Mar-22,Environment/Social
Mukand Limited,Metals - Ferrous,32,58,68,53,Adequate,Mar-23,Environment
Multi Commodity Exchange of India Limited,Financial Services (capital markets),50,50,78,61,Strong,Mar-23,All sectors adequate
Music Broadcast Limited,Media,37,47,69,52,Adequate,Mar-22,Environment/Social
Muthoot Finance Limited,NBFC,53,65,67,62,Strong,Mar-23,All sectors adequate
Nabha Power Limited,Power Thermal,18,31,51,35,Below Average,Mar-22,Environment/Social
Nagarjuna Agro Chemicals Private Limited,Chemicals - Speciality Chemicals,26,56,68,50,Below Average,Mar-23,Environment
Nahar Spinning Mills Limited,Textiles,28,62,62,CRISIL ESG 51,Adequate,Mar-23,Environment
Narayana Hrudayalaya Limited,Healthcare,37,50,72,54,Adequate,Mar-23,Environment
Natco Pharma Limited,Pharmaceuticals,48,66,65,59,Adequate,Mar-22,Environment
National Aluminium Company Limited,Metals - Non-Ferrous,29,64,56,48,Below Average,Mar-23,Environment
National Bank For Agriculture and Rural Development,Financial Institution ,55,54,45,51,Adequate,Mar-23,Governance
